episode,timesteps,wall_clock_s,episode_reward,episode_length,collisions,lap_completed
1,426,9.12,-20.710,71,1,0
2,450,9.60,-13.750,75,1,0
3,546,11.48,-14.910,91,1,0
4,618,12.92,-17.030,103,1,0
5,714,14.88,-15.190,119,1,0
6,732,15.27,-17.470,47,1,0
7,894,18.50,-13.490,149,1,0
8,978,20.21,-15.440,44,1,0
9,1044,21.51,-14.030,103,1,0
10,1242,25.49,-13.440,44,1,0
11,1266,26.01,-19.620,62,1,0
12,1398,28.71,-17.300,130,1,0
13,1446,29.70,-13.670,67,1,0
14,1590,32.62,-17.540,54,1,0
15,1650,33.86,-13.680,68,1,0
16,1728,35.47,-10.970,197,1,0
17,2034,41.85,-14.170,217,1,0
18,2136,44.03,-11.680,68,1,0
19,2220,45.78,-15.370,137,1,0
20,2256,46.55,-23.010,101,1,0
21,2268,46.84,-27.130,113,1,0
22,2274,47.01,-17.380,138,1,0
23,2508,51.92,-13.400,40,1,0
24,2568,53.27,-13.720,72,1,0
25,2676,55.70,-21.070,107,1,0
26,2688,56.00,-14.720,72,1,0
27,2778,57.91,-19.840,84,1,0
28,2796,58.33,-13.480,48,1,0
29,2958,61.72,-14.230,123,1,0
30,3024,63.13,-14.580,58,1,0
31,3150,65.74,-16.590,59,1,0
32,3306,69.08,-15.030,103,1,0
33,3600,75.22,-12.720,172,1,0
34,3636,76.02,-16.020,102,1,0
35,3756,78.49,-18.630,163,1,0
36,3798,79.39,-14.820,82,1,0
37,3882,81.24,-18.540,154,1,0
38,3972,83.14,-20.370,137,1,0
39,3990,83.54,-13.390,39,1,0
40,3996,83.70,-16.660,66,1,0
41,4002,83.87,-13.340,34,1,0
42,4458,93.32,-12.780,78,1,0
43,4542,95.10,-35.510,151,1,0
44,4578,95.87,-14.960,96,1,0
45,4728,98.92,-27.220,122,1,0
46,4740,99.20,-13.430,143,1,0
47,4866,101.75,-17.480,48,1,0
48,5088,106.44,-16.050,105,1,0
49,5100,106.72,-15.930,93,1,0
50,5118,107.13,-14.420,42,1,0
51,5322,111.31,-19.970,97,1,0
52,5388,112.62,-13.100,110,1,0
53,5478,114.41,-18.630,63,1,0
54,5484,114.57,-14.660,66,1,0
55,5598,116.91,-10.710,271,1,0
56,5682,118.69,-15.490,49,1,0
57,5718,119.45,-40.000,100,1,0
58,6204,129.28,-24.870,87,1,0
59,6306,131.45,-17.980,98,1,0
60,6330,131.99,-27.410,141,1,0
61,6366,132.78,-14.480,148,1,0
62,6402,133.60,-11.800,180,1,0
63,6534,136.39,-12.380,38,1,0
64,6702,139.75,-24.830,83,1,0
65,6732,140.37,-14.670,67,1,0
66,6846,142.65,-13.080,208,1,0
67,6864,143.05,-24.770,77,1,0
68,6930,144.48,-14.660,66,1,0
69,7170,149.31,-14.540,54,1,0
70,7284,151.65,-11.530,153,1,0
71,7326,152.54,-16.660,66,1,0
72,7494,156.03,-31.270,127,1,0
73,7536,156.94,-13.350,35,1,0
74,7602,158.43,-19.530,53,1,0
75,7764,161.85,-18.770,177,1,0
76,8010,167.12,-15.410,41,1,0
77,8154,170.11,-18.920,92,1,0
78,8196,171.03,-21.170,117,1,0
79,8208,171.39,-13.240,224,1,0
80,8292,173.16,-15.470,47,1,0
81,8316,173.69,-11.910,191,1,0
82,8460,176.65,-15.440,44,1,0
83,8466,176.82,-13.550,155,1,0
84,8574,179.09,-14.700,70,1,0
85,8646,180.62,-14.310,31,1,0
86,8994,187.86,-14.170,117,1,0
87,9294,194.09,-17.500,50,1,0
88,9360,195.44,-43.920,192,1,0
89,9402,196.33,-12.560,156,1,0
90,9468,197.79,-21.370,137,1,0
91,9552,199.59,-30.060,206,1,0
92,9792,204.58,-15.540,54,1,0
93,9828,205.36,-25.090,209,1,0
94,9930,207.50,-13.880,88,1,0
95,10140,211.89,-15.410,141,1,0
96,10266,214.60,-17.730,73,1,0
97,10308,215.53,-11.860,86,1,0
98,10320,215.84,-16.280,128,1,0
99,10332,216.12,-14.620,162,1,0
100,10716,224.02,-14.750,75,1,0
101,10728,224.31,-13.660,66,1,0
102,10836,226.55,-17.880,88,1,0
103,10854,226.95,-33.190,119,1,0
104,11046,230.80,-16.530,53,1,0
105,11094,231.79,-13.430,43,1,0
106,11184,233.61,-17.780,78,1,0
107,11280,235.72,-23.250,225,1,0
108,11460,239.87,-15.610,61,1,0
109,11508,240.96,-14.090,109,1,0
110,11712,245.57,-19.110,111,1,0
111,11724,245.88,-17.740,74,1,0
112,11886,249.62,-28.610,261,1,0
113,11988,252.18,-15.440,44,1,0
114,11994,252.39,-18.890,89,1,0
115,12114,255.70,-13.380,38,1,0
116,12150,256.66,-15.730,73,1,0
117,12300,308.77,-16.320,132,1,0
118,12672,320.91,-13.480,248,1,0
119,13290,341.20,-15.170,217,1,0
120,13422,345.95,-15.180,218,1,0
121,13446,346.86,-17.420,242,1,0
122,13578,351.48,-11.380,238,1,0
123,13698,355.33,-16.330,233,1,0
124,13902,361.90,-18.050,205,1,0
125,13914,362.33,-22.560,56,1,0
126,14604,383.81,-14.510,151,1,0
127,14832,390.10,-16.350,235,1,0
128,14850,390.62,-14.580,158,1,0
129,15048,396.13,-28.930,293,1,0
130,15318,403.39,-15.340,234,1,0
131,15354,404.38,-10.180,318,1,0
132,15774,415.11,-10.540,154,1,0
133,16194,425.43,-29.910,191,1,0
134,16236,426.47,-12.720,272,1,0
135,16344,429.04,-14.650,165,1,0
136,16554,433.92,-21.060,206,1,0
137,16632,435.73,-12.000,300,1,0
138,16914,442.25,-12.900,190,1,0
139,17154,447.65,-11.530,153,1,0
140,17412,453.54,-16.030,203,1,0
141,17706,460.58,-26.790,179,1,0
142,17898,465.22,-12.590,259,1,0
143,18048,468.75,-19.570,57,1,0
144,18210,472.44,-13.160,216,1,0
145,18318,474.92,-15.510,151,1,0
146,18366,476.05,-15.020,302,1,0
147,18588,481.16,-17.630,63,1,0
148,18792,485.73,-13.730,273,1,0
149,19170,494.53,-31.120,212,1,0
150,19464,500.80,-27.360,236,1,0
151,19572,503.05,-9.010,201,1,0
152,20034,512.69,-12.070,207,1,0
153,20178,515.77,-17.650,265,1,0
154,20472,522.41,-41.590,359,1,0
155,20502,523.10,-11.220,222,1,0
156,20616,525.67,-12.740,174,1,0
157,20850,530.66,-12.310,231,1,0
158,21150,537.34,-11.860,186,1,0
159,21336,541.30,-11.440,144,1,0
160,21498,544.68,-21.080,108,1,0
161,21588,546.61,-24.620,162,1,0
162,21648,547.90,-16.450,245,1,0
163,21900,553.27,-17.940,94,1,0
164,22176,559.20,-16.880,88,1,0
165,22200,559.73,-28.830,283,1,0
166,22440,565.19,-19.570,157,1,0
167,22728,571.95,-13.630,263,1,0
168,22740,572.27,-15.500,50,1,0
169,23046,579.35,-13.910,191,1,0
170,23190,582.72,-11.650,165,1,0
171,23310,585.54,-14.870,287,1,0
172,23454,588.79,-14.130,213,1,0
173,23712,594.76,-13.870,87,1,0
174,24060,602.69,-12.220,222,1,0
175,24270,607.54,-22.040,204,1,0
176,24282,607.86,-12.570,257,1,0
177,25488,678.47,-15.630,363,1,0
178,25608,681.13,-12.590,359,1,0
179,25896,687.40,-10.640,364,1,0
180,25998,689.67,-11.860,286,1,0
181,26232,695.05,-12.620,362,1,0
182,26544,702.03,-12.790,379,1,0
183,26904,710.39,-20.360,236,1,0
184,27054,713.74,-18.760,176,1,0
185,27384,721.24,-11.960,296,1,0
186,27900,732.93,-12.340,334,1,0
187,28068,736.86,-16.540,254,1,0
188,28410,744.41,-10.630,363,1,0
189,29004,757.91,-12.500,350,1,0
190,29118,760.53,-12.440,344,1,0
191,29352,766.13,-22.420,242,1,0
192,29454,768.48,-11.450,345,1,0
193,30282,787.34,-11.550,155,1,0
194,30312,788.06,-10.740,374,1,0
195,30588,794.40,-12.630,363,1,0
196,31008,803.77,-12.340,334,1,0
197,31122,806.44,-12.780,278,1,0
198,31248,809.29,-11.550,355,1,0
199,31440,814.06,-14.930,193,1,0
200,32166,841.34,-10.740,174,1,0
201,32568,851.64,-11.760,376,1,0
202,32748,856.11,-11.600,360,1,0
203,33060,863.52,-16.700,270,1,0
204,33138,865.36,-12.550,355,1,0
205,33324,869.71,-10.460,346,1,0
206,34080,889.67,-12.190,319,1,0
207,34242,894.06,-12.840,184,1,0
208,34488,900.40,-11.380,238,1,0
209,34752,907.23,-11.640,364,1,0
210,34806,908.79,-11.430,343,1,0
211,35442,925.53,-13.530,353,1,0
212,36000,940.27,-13.200,320,1,0
213,36354,949.75,-11.520,352,1,0
214,36630,956.52,-11.570,357,1,0
215,36930,1004.50,-12.540,354,1,0
216,36960,1005.14,-11.680,368,1,0
217,37500,1015.88,-12.430,343,1,0
218,37974,1025.52,-11.290,329,1,0
